Tweet Id,text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1.30085E+18,"@ptimusk @CU_President Hi Peter, Carleton University remains open and is primarily operating remotely. Public access is restricted in most buildings, as Carleton has limited access to university buildings to authorized individuals only. https://t.co/5QUIvvI7tf",Carleton University,Carleton_U,2020-09-01T17:51:08.000Z,Tue Sep 01 17:51:08 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,https://newsroom.carleton.ca/coronavirus-covid-19/faq/#GR1 ,0,2,,,,,
1.30082E+18,"RT @ONtrainandstudy : Congratulations to Dr. Kim Hellemans who received a Minister’s Award of Excellence!

Dr. Hellemans, a professor at @Carleton_U worked to ensure students had the learning and mental health supports they needed during #COVID19 - &amp; was nominated by several of her peers and students. https://t.co/Cw34UOKYEF",Carleton University,Carleton_U,2020-09-01T15:19:42.000Z,Tue Sep 01 15:19:42 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,1,1,photo,https://pbs.twimg.com/media/Eg1p_syWkAA892e.jpg,,,
1.30081E+18,@Owiekris The program lists 'undergraduate student' as part of their eligibility requirements. You can learn more here: https://t.co/nbOZpefIVx,Carleton University,Carleton_U,2020-09-01T14:49:11.000Z,Tue Sep 01 14:49:11 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,https://carleton.ca/discoverycentre/funding-opportunities/students-as-partners-program-sapp/ ,0,1,,,,,
1.3008E+18,"Your academic success starts @CarletonU_CSAS! ??

CSAS designs, develops and implements evidence-informed educational programs and services that are available to support all Carleton University students. ??

Together we're all here to help! #AskMeCarletonU https://t.co/riAyCl0RIk",Carleton University,Carleton_U,2020-09-01T14:11:45.000Z,Tue Sep 01 14:11:45 +0000 2020,9,5,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,1,video,https://video.twimg.com/ext_tw_video/1300797930727710721/pu/vid/1280x720/aFeILye26gMZ5qFJ.mp4?tag=10,,,
1.3008E+18,"@beenagoat Hey! Grad photos are taken by Portraits Now, you can check out their website for more information: https://t.co/oCmGUhe8Wn",Carleton University,Carleton_U,2020-09-01T14:08:22.000Z,Tue Sep 01 14:08:22 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,http://portraitsnow.ca/ ,0,1,,,,,
1.3008E+18,"Work alongside a Carleton course instructor while developing your academic and transferrable skills in a paid position with the Students and Partners Program! 
https://t.co/oij3FIZmk4",Carleton University,Carleton_U,2020-09-01T14:02:33.000Z,Tue Sep 01 14:02:33 +0000 2020,5,3,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,https://students.carleton.ca/2020/08/applications-for-fall-students-as-partners-program-now-open/ ,0,0,,,,,
1.30078E+18,"RT @CU_President : There is a new freshness in the air and the fall term is just around the corner. A warm welcome to all new &amp; returning students! It will be an unusual fall but we are prepared and ready. Together, we will have a great year @Carleton_U! Full update here:
https://t.co/2KScWmKDsq",Carleton University,Carleton_U,2020-09-01T12:59:20.000Z,Tue Sep 01 12:59:20 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://newsroom.carleton.ca/2020/ready-for-september/?utm_source=Homepage&utm_medium=Spotlight ,0,1,,,,,
1.30052E+18,"The new academic year is only a week away and we’re excited to welcome all of our new and returning students to the Carleton community. 
No matter how big or small your questions, we’re all here to help!
#AskMeCarletonU https://t.co/DJI2S6ukOt",Carleton University,Carleton_U,2020-08-31T19:48:39.000Z,Mon Aug 31 19:48:39 +0000 2020,39,18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,0,video,https://video.twimg.com/ext_tw_video/1300520261909913601/pu/vid/480x270/IxxhHrCMRA86YcZy.mp4?tag=10,,,
1.30045E+18,"RT @CUnewsroom : In Carleton’s Students as Partners Program, students work with instructors to develop courses and learning environments. With more than 100 courses being redesigned in all of Carleton’s faculties this summer it's the largest program of its kind in Canada: https://t.co/cI0Mt4OidW https://t.co/3XtW7F6OEM",Carleton University,Carleton_U,2020-08-31T15:13:52.000Z,Mon Aug 31 15:13:52 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://newsroom.carleton.ca/story/students-as-partners-program/ ,0,0,photo,https://pbs.twimg.com/media/Egwe28hXgAEysgf.jpg,,,
1.30045E+18,"Sustainability at Carleton is an important program that overlaps with our day to day activities, from how we travel to the waste we throw away. Learn about your impact.
https://t.co/Bs5Toqq3tz",Carleton University,Carleton_U,2020-08-31T15:03:23.000Z,Mon Aug 31 15:03:23 +0000 2020,8,4,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,https://students.carleton.ca/2020/08/welcome-to-the-new-term-from-sustainability-carleton/ ,0,0,,,,,
