,0,1
0,return,8
1,rented,8
2,textbook,8
3,time,6
4,art,4
5,need,4
6,bookstore,4
7,extending,4
8,period,4
9,give,4
10,more,4
11,student,3
12,optout,2
13,faculty,2
14,social,2
15,science,2
16,present,2
17,dear,2
18,class,2
19,cuproud,2
20,cugradstudies,2
21,phd,2
22,win,2
23,prestigious,2
24,award,2
25,their,2
26,northern,2
27,research,2
28,ottawahealth,2
29,have,2
30,heard,2
31,myth,2
32,about,2
33,alcohol,2
34,find,2
35,fact,2
36,here,2
37,faq,2
38,friday,2
39,how,2
40,much,2
41,left,2
42,complete,2
43,learning,2
44,support,2
45,workshop,2
46,httpstcoqjdtmyxpsr,2
47,electricarchaeo,2
48,not,2
49,ragnarok,2
